id,caption,media_type,permalink,timestamp,like_count,comments_count,reach,impressions,saved,shares,plays,total_interactions
18162573574412294,"大変なレポート・テスト期間を乗り越えるための相棒💻📚

教科書の引用も、iPhoneをかざすだけで一瞬でMacに取り込める。この機能のおかげで大学生活が効率化できて本当に充実してます🙌
意外と知られていないけど、テキストだけじゃなくて画像もコピーできるんです！
春から大学生になる人やパソコン選びに悩んでる人は、
Mac × iPhoneの組み合わせがおすすめです！

#PR #Apple #学生にMac #パソコン #学割",VIDEO,https://www.instagram.com/reel/DUqXwTwCQwI/,2026-02-12T15:01:52+0000,199,0,5154,0,57,11,0,269
18093700366982216,"期末期間中に旅行に行った大学生のvlog
かなりハラハラな試験期間でした😇

#大学生 #大学生の日常 #韓国旅行 #06",VIDEO,https://www.instagram.com/reel/DUa8TaMCVnP/,2026-02-06T15:11:16+0000,822,1,44390,0,219,54,0,1100
17873631657417545,"turned 20✨

📷：@rina._nozawa

#glowup #06 #fyp #reels",VIDEO,https://www.instagram.com/reel/DULQNoKiUqW/,2026-01-31T13:01:07+0000,258,2,5625,0,13,2,0,276
18085662773121636,"2025年は
あまり投稿できませんでした
やりたいことに対して行動が追いつかず
自分の弱さが露呈した一年だったので
2026年は完璧を求めすぎないで、ありのままの途中の自分を出して行ける年にしたいです
ただ、色々な人との繋がりができた1年でもあったので、そこは本当に幸せでした😌

(写真動画を全然撮ってなかったので動物のベストショット添えておきます🐈‍⬛)",CAROUSEL_ALBUM,https://www.instagram.com/p/DS7m_pVE37h/,2025-12-31T14:35:43+0000,503,2,4754,0,16,3,0,524
17864535642518594,"久しぶりにちゃんと朝活したら、1日が長過ぎてびっくりした、、
毎日はできなくても週1以上は早起きしたいですね

#vlog #大学生の日常 #東京散歩 #朝活",VIDEO,https://www.instagram.com/reel/DRw1DEXCTGB/,2025-12-02T13:41:32+0000,568,15,15857,0,133,23,0,741
18078803936314232,"Hawaii🏝️

終始穏やかだった😌",CAROUSEL_ALBUM,https://www.instagram.com/p/DOQ3BneiUwM/,2025-09-06T14:02:53+0000,580,4,5752,0,14,5,0,603
17853246471516204,"高円寺にオープンするカフェに行ってきました

大学のクラスメイトが立ち上げた、期間限定のこだわり自然派カフェ(@little_farm_cafe)🫖
本格的な紅茶と、オーガニックのフルーツや野菜を使ったスイーツが見た目も華やかで美味しすぎました、、

店内もおしゃれで居心地が良かったので
皆さんもよかったら行ってみてください！
僕はまた行きます🫣

Little Farm Cafe
📍 東京都杉並区高円寺南4-24-11 宝山ビル112
🚶‍♂️ 高円寺駅から徒歩4分
📅 大学生がやってる期間限定カフェ（※期間の詳細は @little_farm_cafe でご確認ください！）

#高円寺カフェ #高円寺グルメ #littlefarmcafe #大学生カフェ #期間限定カフェ",CAROUSEL_ALBUM,https://www.instagram.com/p/DNqYBViJ4OF/,2025-08-22T15:20:49+0000,445,1,5971,0,18,3,0,468
18090666901619097,"2015→2025
こうして見るとだいぶ変わった気がしますね

#fyp #06 #自分磨き",VIDEO,https://www.instagram.com/reel/DK7WvNsJDPk/,2025-06-15T16:04:16+0000,482,4,21127,0,37,8,0,531
18106659490513383,"最近の1日は学校と猫サーか筋トレで終わります

しばらく動画撮るのサボってたので
今度こそ頻度上げていきます🙇

#大学生の日常 #vlog #06 #猫",VIDEO,https://www.instagram.com/reel/DKj2u7zztC1/,2025-06-06T13:05:16+0000,709,11,29786,0,81,6,0,807
18060438359037619,"最近の
#06 #fyp",CAROUSEL_ALBUM,https://www.instagram.com/p/DIQ_jQ0zCg4/,2025-04-10T12:09:01+0000,744,6,7057,0,27,3,0,780
18065404688307878,"北欧で流行中の新ブランド『BeWider』のデニム。シンプルなのにちゃんと雰囲気があって、余計な装飾がない分シルエットが際立つ。デニム特有の硬さがなくて柔らかく、動きやすいから履き心地が抜群。
サイズ感もちょうどよくて、ピタピタでもダボダボでもない絶妙なバランス。男女どっちが履いてもハマるのがいいですね。
色んな服に合わせやすくて最近ずっと履いてます。

#ad#bewiderdenim #denimlover #denimdetails
＃デニム ＃デニム男子#ストリート＃ストリートファッション#ワイドデニム#ワイドデニムパンツ",CAROUSEL_ALBUM,https://www.instagram.com/p/DHa4aYaT9oO/,2025-03-20T11:47:39+0000,353,8,5208,0,18,0,0,379
18050932448204800,"大学生の春休み

猫サークルの集まりで宮城県にある猫島に行ってきた🐈
島の猫みんな人懐っこくて可愛すぎ&癒されすぎた☺️
猫島は他にも何ヶ所かあるみたいなので制覇します！！

#vlog#大学生の日常#fyp#旅行#猫島#田代島",VIDEO,https://www.instagram.com/reel/DHYbQUYTR_5/,2025-03-19T12:55:11+0000,1630,12,30864,0,440,9,0,2092
18045555968368536,"友達とグランピングに行ってきました

猫と自然に囲まれた空間で、日常の疲れが一気に癒される素敵な体験ができました😊
学生でも楽しめるコスパも良い施設で、ぜひ皆さんに一度は行ってもらいたい場所です！！

行ってきたばかりだけどまた行きたい😌

________________________________

🏕️和心村 (わしんむら)
📍千葉県富津市高溝１４
🚗都心から90分！
　アクアライン木更津から車で40分
🉐 公式ＨＰからの予約が１番最安値です🐈

営業時間
チェックイン 15:00~19:00
チェックアウト 11:00
料金
23,000円～

#pr #和心村 #グランピングキャンプ #vlog #大学生 
#fyp",VIDEO,https://www.instagram.com/reel/DHN-4wCz73f/,2025-03-15T11:47:05+0000,426,14,9046,0,54,2,0,496
